X,Y
1338,7721.031
1339,7721.169
1340,7720.703
1341,7720.957
1342,7721.846
1343,7721.687
1344,7720.762
1345,7721.567
1346,7722.104
1347,7720.825
1348,7722.378
1349,7721.235
1350,7720.955
1351,7721.601
1352,7720.207
1353,7718.760
1354,7722.238
1355,7721.529
1356,7721.473
1357,7722.586
1358,7722.731
1359,7721.704
1360,7721.950
1361,7722.451
1362,7720.775
1363,7721.653
1364,7721.130
1365,7720.657
1366,7721.785
1367,7721.317
1368,7721.216
1369,7722.755
1370,7736.907
1371,7738.129
1372,7738.234
1373,7738.903
1374,7737.744
1375,7739.480
1376,7738.954
1377,7736.283
1378,7736.432
1379,7734.877
1380,7736.096
1381,7737.890
1382,7736.094
1383,7726.437
1384,7719.934
1385,7721.598
1386,7721.490
1387,7720.986
1388,7721.860
1389,7720.832
1390,7720.922
1391,7722.513
1392,7720.993
1393,7721.368
1394,7721.812
1395,7720.388
1396,7715.516
1397,7715.723
1398,7715.391
1399,7713.870
1400,7716.263
1401,7723.795
1402,7720.577
1403,7722.114
1404,7720.772
1405,7720.489
1406,7722.007
1407,7720.769
1408,7721.450
1409,7722.330
1410,7720.941
1411,7720.967
1412,7721.731
1413,7720.106
1414,7718.271
1415,7720.277
1416,7721.885
1417,7720.614
1418,7722.205
1419,7721.539
1420,7720.506
1421,7722.478
1422,7721.938
1423,7692.234
1424,7699.973
1425,7662.527
1426,7624.624
1427,7625.544
1428,7664.196
1429,7650.057
1430,7719.980
1431,7772.395
1432,7890.899
1433,7966.604
1434,8053.953
1435,8182.261
1436,8287.175
1437,8409.864
1438,8591.116
1439,8736.575
1440,8926.653
1441,9130.718
1442,9288.827
1443,9551.624
1444,9745.051
1445,9980.521
1446,10155.375
1447,10383.154
1448,10573.968
1449,10798.731
1450,10949.579
1451,11197.158
1452,11379.438
1453,11613.604
1454,11856.514
1455,12169.907
1456,12415.323
1457,12661.198
1458,12937.862
1459,13177.508
1460,13390.173
1461,13624.007
1462,13806.062
1463,14028.823
1464,14187.363
1465,14389.627
1466,14489.414
1467,14668.891
1468,14802.777
1469,14926.364
1470,15069.383
1471,15196.625
1472,15338.014
1473,15415.750
1474,15560.843
1475,15696.684
1476,15805.730
1477,15958.541
1478,15993.388
1479,16020.867
1480,16138.258
1481,16257.715
1482,16461.434
1483,16588.318
1484,16723.189
